Date__(UT)__HR:MN, , ,R.A._(ICRF),DEC_(ICRF),delta,deldot,
 2022-Aug-17 00:00, , ,   326.10031,  -13.59216,  1.01253078145211, -0.3144831,
 2022-Aug-18 00:00, , ,   327.03257,  -13.27315,  1.01234757928914, -0.3199951,
 2022-Aug-19 00:00, , ,   327.96280,  -12.95061,  1.01216108241947, -0.3258881,
 2022-Aug-20 00:00, , ,   328.89103,  -12.62462,  1.01197107903231, -0.3321322,
 2022-Aug-21 00:00, , ,   329.81733,  -12.29528,  1.01177737628667, -0.3386926,
 2022-Aug-22 00:00, , ,   330.74173,  -11.96268,  1.01157980211440, -0.3455324,
 2022-Aug-23 00:00, , ,   331.66428,  -11.62689,  1.01137820596487, -0.3526138,
 2022-Aug-24 00:00, , ,   332.58502,  -11.28801,  1.01117245988273, -0.3598961,
 2022-Aug-25 00:00, , ,   333.50401,  -10.94613,  1.01096246077429, -0.3673334,
 2022-Aug-26 00:00, , ,   334.42129,  -10.60135,  1.01074813422582, -0.3748719,
 2022-Aug-27 00:00, , ,   335.33691,  -10.25375,  1.01052943978569, -0.3824474,
 2022-Aug-28 00:00, , ,   336.25091,   -9.90343,  1.01030637722383, -0.3899848,
 2022-Aug-29 00:00, , ,   337.16336,   -9.55049,  1.01007899297859, -0.3973978,
 2022-Aug-30 00:00, , ,   338.07429,   -9.19502,  1.00984738585835, -0.4045918,
 2022-Aug-31 00:00, , ,   338.98376,   -8.83711,  1.00961171111481, -0.4114667,
 2022-Sep-01 00:00, , ,   339.89183,   -8.47687,  1.00937218220420, -0.4179218,
 2022-Sep-02 00:00, , ,   340.79855,   -8.11439,  1.00912906977359, -0.4238607,
 2022-Sep-03 00:00, , ,   341.70399,   -7.74976,  1.00888269749584, -0.4291972,
 2022-Sep-04 00:00, , ,   342.60821,   -7.38308,  1.00863343424777, -0.4338622,
 2022-Sep-05 00:00, , ,   343.51129,   -7.01444,  1.00838168187575, -0.4378122,
 2022-Sep-06 00:00, , ,   344.41330,   -6.64394,  1.00812785773482, -0.4410386,
 2022-Sep-07 00:00, , ,   345.31432,   -6.27166,  1.00787237177248, -0.4435768,
